id;service_document;fee_document;service_code;phase_type;status;status_description;status_date;total_fee_amount;paid_by;payment_method;payment_reference;payment_date;rejected_by;rejection_reason;rejection_date;process_instance_id
1;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Gorgeous salmon Djibouti;EXEMPTION_AUDITING;REJECTED;Personal Loan Account transparent Avon;2020-03-15T00:05:25;44127;Organic multi-byte;56612;48281;2020-03-14T23:18:56;Ergonomic Steel Chicken silver;parse;2020-03-14T22:02:15;36069
2;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Directives interfaces;KNOWLEDGE_TEST;UNDER_PROCESSING;Sports;2020-03-15T03:24:06;65023;intranet scale bandwidth;72815;61283;2020-03-14T19:16:54;Mouse Uzbekistan Sum Avon;Sleek middleware teal;2020-03-15T10:45:13;69383
3;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Handmade Steel Chips withdrawal Pula;GET_REQUEST_DETAILS;CONFIRMED;Multi-tiered;2020-03-14T20:37:49;85034;middleware;17124;81398;2020-03-15T11:17:33;US Dollar;alarm;2020-03-15T05:40:46;89216
4;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Keyboard Credit Card Account JBOD;CREATE_USER_DELIVERY;REJECTED;Credit Card Account;2020-03-15T10:01:29;41469;Rubber Mayotte Manager;61704;37523;2020-03-15T02:26:14;Isle strategize;deposit Buckinghamshire;2020-03-14T16:38:18;4008
5;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;open-source;ADVANCED_PRACTICAL_TRAINING;CONFIRMED;Belgium Cheese invoice;2020-03-14T14:37:36;53451;port cultivate white;93840;14513;2020-03-15T04:20:57;Secured artificial intelligence Cambridgeshire;Tuna;2020-03-15T06:57:55;6931
6;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Burg harness;CUSTOMER_ELIGIBILITY;VERIFIED_AND_LOCKED;Cotton Strategist;2020-03-14T17:44:04;49;ivory;27581;68949;2020-03-14T15:00:41;Plastic;Automotive Ergonomic Agent;2020-03-15T02:09:49;12839
7;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;XSS back-end;PRACTICAL_TRAINING;UNDER_PROCESSING;Afghanistan;2020-03-15T11:30:50;18640;withdrawal;25605;32256;2020-03-14T23:05:58;port virtual Auto Loan Account;Corner Agent Mills;2020-03-14T16:40:57;88415
8;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Alaska neural Steel;DRIVING_LEARNING_FILE_AUDIT;REJECTED;Car Handmade bypass;2020-03-15T05:43:08;59972;Convertible Marks FTP;21981;38845;2020-03-14T22:31:35;hacking RAM bus;Applications backing up;2020-03-15T05:59:28;69355
9;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Wisconsin;ADVANCED_PRACTICAL_TRAINING;REJECTED;Future;2020-03-14T18:23:39;18047;XSS Bike;15093;16080;2020-03-15T09:17:22;neural-net monitor;Baby Singapore;2020-03-15T12:14:29;9771
10;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;mindshare Orchestrator;CUSTOMER_ELIGIBILITY;VERIFIED_AND_LOCKED;Team-oriented Tennessee Handmade;2020-03-15T13:20:12;66906;leverage;64050;6581;2020-03-15T06:01:09;customer loyalty;Metrics;2020-03-15T02:21:15;31989
