id;code;is_eligible_for_exemption;is_exempted;violation_level;exemption_process_id;exempted_by;exemption_date;application_id;created_by;created_date;last_modified_by;last_modified_date
1;Borders;61883;50986;Internal HDD mobile;74820;white;2020-03-14T15:29:49;22448;Platinum Car;2020-03-14T13:02:51;multi-byte radical;2020-03-15T04:38:04
2;invoice;24851;35945;Practical Bike;93999;bypassing Unbranded Cotton Chicken feed;2020-03-15T02:37:04;36670;withdrawal;2020-03-15T09:54:58;Tennessee;2020-03-14T13:29:40
3;Mount compressing;39394;4791;hardware Licensed Plastic Mouse AGP;96002;Developer;2020-03-14T21:55:09;19415;Borders;2020-03-15T05:13:57;Bedfordshire Aruban Guilder XSS;2020-03-14T23:48:35
4;paradigms Motorway Metrics;51379;1202;multi-byte Metal South Africa;35615;Borders;2020-03-14T21:12:43;76395;optical JSON;2020-03-15T10:18:33;value-added best-of-breed;2020-03-14T23:13:31
5;mindshare Internal;14602;74138;protocol mint green;83174;Operative programming Multi-layered;2020-03-14T18:37:02;92410;programming Ergonomic Money Market Account;2020-03-14T19:34:42;Engineer transmitter;2020-03-14T23:36:15
6;Radial Gorgeous bypassing;59268;51260;PNG;99953;Metal Architect;2020-03-15T09:57:27;68559;empower;2020-03-15T09:53:30;Regional Home Loan Account Associate;2020-03-15T11:08:59
7;Generic International;56662;94056;azure;11117;application card Functionality;2020-03-15T08:22:58;75710;Wooden;2020-03-14T14:53:45;viral;2020-03-14T18:42:35
8;Finland;65828;67402;Devolved;62834;azure Pants Towels;2020-03-14T21:00:59;3350;conglomeration Egyptian Pound actuating;2020-03-15T08:20:31;incubate Nebraska;2020-03-14T21:21:16
9;Keyboard Interactions Mobility;24079;64407;CSS;70794;index;2020-03-15T08:58:29;41681;system;2020-03-15T07:47:08;Customer brand program;2020-03-14T23:23:04
10;Checking Account;80862;48719;Gold Incredible;24259;Rustic;2020-03-15T07:05:20;77869;Frozen;2020-03-14T20:57:59;Centralized Shoes;2020-03-15T00:45:36
