id;end_point;name;enabled;technical_remarks;created_by;created_date;last_modified_by;last_modified_date
1;Refined Granite Cheese;UTS_CLIENT;false;viral encoding portal;Soft Gorgeous copying;2020-03-17T23:48:45;Cambridgeshire input Soft;2020-03-17T18:10:19
2;virtual monitor;CUSTOMER_DEMOGRAPHIC;true;Shirt Senior;Iraqi Dinar Soap;2020-03-17T03:28:01;bandwidth Denar Tunnel;2020-03-17T19:49:14
3;SMS deposit;CREATE_TRAFFIC_FILE;true;Investment Account;supply-chains;2020-03-17T18:30:51;navigating transition quantify;2020-03-17T06:15:46
4;yellow Glen violet;TASK_DETAILS;true;Paradigm bypassing;primary;2020-03-18T01:23:46;withdrawal;2020-03-18T01:37:55
5;Computers monitoring;INITIATE_PROCESS;false;SDD PNG;Oregon Missouri pixel;2020-03-18T00:01:16;6th generation Refined Baby;2020-03-17T18:06:32
6;Maine Regional Licensed;FINISH_TASK;true;impactful Ramp;bus Liberia;2020-03-18T01:03:27;clicks-and-mortar;2020-03-17T15:23:20
7;4th generation;PERSONA_CATEGORY;false;Tools Dynamic;Developer Kids;2020-03-17T23:48:49;ivory Money Market Account;2020-03-17T09:04:00
8;empowering South Dakota Shoes;USER_INBOX;false;Future;compress;2020-03-18T00:18:30;Iranian Rial;2020-03-18T00:34:45
9;Maryland Associate purple;CUSTOMER_DEMOGRAPHIC;false;Texas Fully-configurable;Tasty Unbranded Plastic Soap;2020-03-17T04:21:30;mission-critical RAM;2020-03-17T07:43:23
10;PCI;PROCESS_DETAILS;true;Bedfordshire;Supervisor;2020-03-17T21:26:44;neural monitor;2020-03-17T10:36:32
