id;value;description;sort_order;domain_id;created_by;created_date;last_modified_by;last_modified_date
1;strategize;Berkshire JSON;6647;67180;Belize feed;2020-03-16T09:48:06;Strategist;2020-03-15T23:11:24
2;tan Mouse Wooden;Reactive COM violet;93968;85786;Face to face violet;2020-03-15T20:19:06;invoice Credit Card Account;2020-03-15T13:11:19
3;Borders;Alaska;80727;80851;redundant;2020-03-16T08:14:37;SAS feed back-end;2020-03-15T15:04:58
4;Frozen Grass-roots;Tennessee XSS;45220;72828;Phased;2020-03-15T13:17:15;Latvia;2020-03-15T12:22:20
5;generating Pants Digitized;initiatives synergies Cambridgeshire;68800;9229;optical;2020-03-15T23:29:40;digital Oval;2020-03-16T04:33:16
6;eco-centric pixel Movies;Iranian Rial;71554;61991;Fresh;2020-03-15T15:59:15;Principal Functionality;2020-03-15T14:51:41
7;SAS;azure COM Group;1521;19615;Steel Web;2020-03-15T15:59:38;hacking;2020-03-15T13:43:49
8;calculating synergize card;Car;27394;93782;Money Market Account;2020-03-15T18:40:51;Grove Licensed Small;2020-03-16T03:13:47
9;Courts Public-key protocol;user-centric;7492;89245;array;2020-03-15T21:46:09;Gorgeous Plastic Fish Direct;2020-03-15T13:43:25
10;Frozen Program;infomediaries override;60445;53231;Metal synthesize Grass-roots;2020-03-15T14:25:09;customized Glen;2020-03-15T23:50:42
