id;status;status_description;status_date;active_phase;confirmed_by;confirmation_date;rejected_by;rejection_reason;rejection_date;process_instance_id;channel_code;channel_description;customer_id;english_customer_name;arabic_customer_name;trade_license_no;english_corporate_name;arabic_corporate_name;user_type;user_type_description;user_role;application_criteria;persona;persona_version;created_by;created_date;last_modified_by;last_modified_date
1;COMPLETED;Small maximize one-to-one;2020-03-14T15:55:06;KNOWLEDGE_TEST;Compatible;2020-03-14T22:06:35;Bedfordshire;sky blue PCI;2020-03-15T08:11:11;1390;Iowa orchid interface;B2B;Lead;even-keeled Officer;ADP;ROI Intelligent Music;compress auxiliary Vermont;French Southern Territories dynamic EXE;Steel foreground Assurance;Metical Advanced Avon;Decentralized;Refined Frozen Chair drive;haptic;forecast Cambridgeshire multi-tasking;Personal Loan Account lavender;2020-03-15T11:40:36;leverage open-source;2020-03-14T21:38:00
2;COMPLETED;Bike;2020-03-15T01:28:58;CREATE_USER_DELIVERY;Personal Loan Account Table;2020-03-14T18:54:00;Cheese Polarised;orchid Lake Assurance;2020-03-15T02:32:01;89149;Quality-focused;Garden;Avon Applications;deposit Fiji Dollar;integrate;Neck primary;RSS Auto Loan Account system engine;Berkshire ivory Metal;compress Brand calculate;Lilangeni;regional;Handcrafted deploy;Saint Pierre and Miquelon;Cayman Islands Dollar Bedfordshire empower;Practical Rubber Fish;2020-03-15T01:14:15;Buckinghamshire Knoll partnerships;2020-03-14T14:41:23
3;UNDER_PROCESSING;quantify Home Loan Account Sports;2020-03-14T18:57:30;PRACTICAL_TRAINING;Balanced Berkshire Bike;2020-03-15T00:16:25;hybrid Toys;XML programming methodology;2020-03-15T04:51:37;6200;back up clicks-and-mortar Computer;Bedfordshire mobile Missouri;Orchestrator Books;clear-thinking Utah;world-class;alliance;Small Granite Table;Gorgeous Producer North Dakota;full-range back up contextually-based;ivory Forward;Customer Forward;Synergized;Fish transmitter;ivory lavender XSS;Applications exploit action-items;2020-03-14T22:01:00;solid state Manager;2020-03-15T06:24:21
4;NEW;attitude-oriented;2020-03-15T08:20:54;PRACTICAL_TRAINING;cutting-edge grey Home Loan Account;2020-03-14T17:51:36;time-frame Berkshire;Tenge AGP Fort;2020-03-14T14:59:54;21370;open-source;architectures Dynamic Well;Virgin Islands, British Assistant reboot;Plastic firmware backing up;Implementation Refined Rubber Computer Toys;Small Granite Shoes Creative Metal;Norwegian Krone Marketing;green Syrian Pound;interfaces Supervisor Auto Loan Account;back-end;Square mint green;transmitter;Optimization Canada Steel;Fantastic Soft Chicken application;olive District Consultant;2020-03-15T11:05:46;paradigms synthesizing Auto Loan Account;2020-03-15T07:44:20
5;UNDER_PROCESSING;copy;2020-03-14T16:39:39;DRIVING_LEARNING_FILE_AUDIT;bypassing leverage;2020-03-14T18:25:36;scale;Oval Unbranded invoice;2020-03-14T17:18:54;8709;architectures Strategist;navigating West Virginia transitional;navigating transform Shoes;Personal Loan Account Suriname;synergies mobile GB;utilize Optimization Handcrafted Metal Towels;Arkansas;Corporate Chicken;Rustic Plastic Gloves Personal Loan Account;XSS;protocol Vietnam;Fantastic Frozen Keyboard Borders;monetize;withdrawal global Credit Card Account;Rue;2020-03-14T16:19:19;bypass neural-net invoice;2020-03-15T11:54:03
6;COMPLETED;Brunei Dollar;2020-03-14T20:17:15;ROAD_TEST;system;2020-03-15T05:18:05;Assimilated;Borders haptic Tools;2020-03-14T20:46:11;63423;Electronics best-of-breed;index Electronics monitor;Home Developer;Washington Mouse;Oregon;Nevada Licensed;SAS;payment withdrawal;visionary deposit;multimedia distributed;back up Intelligent Frozen Pizza USB;firewall Wooden;Car Bacon;solid state bandwidth Japan;functionalities;2020-03-15T13:45:58;mission-critical Soap;2020-03-15T12:45:46
7;UNDER_PROCESSING;redundant Awesome Metal Car Future-proofed;2020-03-14T14:40:02;YARD_TEST;mission-critical;2020-03-14T21:36:18;withdrawal red;synergistic;2020-03-15T00:31:59;12599;optical;Pizza Dynamic vertical;neural Buckinghamshire Handmade Frozen Fish;Practical Plastic Ball responsive;Cambridgeshire zero tolerance;Sleek Plastic Shirt Ergonomic International;Rand Loti Colombian Peso Unidad de Valor Real;backing up Frozen Avon;blue;mesh;Savings Account support;invoice Integration;Dalasi auxiliary monitoring;Granite 1080p deposit;Salad Buckinghamshire;2020-03-15T03:59:37;Argentine Peso adapter;2020-03-15T03:41:18
8;COMPLETED;copy;2020-03-14T15:08:18;ROAD_TEST;Personal Loan Account Electronics;2020-03-14T22:40:24;Fish Incredible experiences;Jewelery Generic Frozen Bike;2020-03-14T23:40:18;53514;European Unit of Account 9(E.U.A.-9);Avon Fish Knolls;sensor high-level;Gloves Spring;Personal Loan Account neural Mississippi;synthesizing Personal Loan Account application;Quetzal;Licensed Frozen Shoes;deposit Operative;compelling Money Market Account synergies;programming Movies strategize;Bedfordshire Rand;mint green channels;AGP override;whiteboard THX;2020-03-15T02:00:26;Illinois;2020-03-15T13:55:25
9;REJECTED;zero defect SMTP;2020-03-14T18:05:19;DRIVING_LEARNING_FILE_AUDIT;Tunisian Dinar;2020-03-14T23:44:43;compressing;Fundamental transmitting Regional;2020-03-15T08:04:21;34824;Chief intuitive;Cheese bypassing Assistant;Tennessee end-to-end superstructure;deposit EXE;neural;Kids;Unbranded Home Loan Account Luxembourg;syndicate;Nebraska open-source;cross-platform User-friendly;Direct networks Personal Loan Account;Customer Metrics Soft;incentivize;extensible navigate payment;Cross-group Tasty interface;2020-03-14T18:16:17;Direct;2020-03-15T10:35:28
10;REJECTED;Agent parse viral;2020-03-15T01:55:08;DRIVING_LEARNING_FILE_AUDIT;User-centric;2020-03-15T07:13:55;online;Dong Practical Steel Bacon;2020-03-14T19:52:04;53754;Bacon application Zloty;utilisation generate envisioneer;Unbranded Plastic Chicken;Saint Pierre and Miquelon Lesotho grid-enabled;Investment Account Refined Fresh Fish;primary JSON Mission;Practical Silver;azure Functionality TCP;hack;gold Missouri;Borders mint green;SMTP Anguilla purple;synthesize PNG;stable intuitive Practical;Practical Rubber Computer Alaska;2020-03-15T01:19:39;Curve grow PNG;2020-03-15T13:54:00
