id;code;description;summary;status;sort_order;created_by;created_date;last_modified_by;last_modified_date
1;Towels Corporate;Money Market Account schemas system;SDD Montserrat Handmade;strategy;92617;mobile Mission;2020-03-14T23:22:59;enhance Program Frozen;2020-03-15T01:45:21
2;Home Loan Account Borders;withdrawal Saint Helena Pound Gorgeous;incubate Table back up;Frozen Rhode Island Expanded;81577;Generic Graphic Interface;2020-03-15T07:46:59;Analyst;2020-03-14T21:55:03
3;Strategist Cotton Tasty Plastic Ball;Coordinator;frictionless Solutions hack;moderator;53335;Practical Cotton Computer;2020-03-15T01:48:40;SMTP;2020-03-15T13:44:43
4;web-readiness artificial intelligence;Tasty Rubber Bike Tasty Granite Bike;architecture monitor;Corporate Boliviano Mvdol;47264;mesh;2020-03-15T12:32:23;drive;2020-03-15T04:01:43
5;Internal magenta;Checking Account Intelligent back up;Stand-alone 1080p;salmon;75227;Wooden;2020-03-14T14:33:27;algorithm Graphic Interface;2020-03-15T01:22:04
6;Rapids Tactics;connect Graphical User Interface;indexing Netherlands Antilles;Lao People's Democratic Republic bypass;80935;payment impactful deposit;2020-03-15T03:51:04;Tactics;2020-03-15T10:50:12
7;Checking Account;exploit Dynamic;Mission 24/365 Virgin Islands, British;Tennessee Supervisor;93480;digital Borders;2020-03-14T15:16:08;index;2020-03-15T06:49:08
8;Texas Product Electronics;Bermuda indexing California;Bridge Oregon;Pants deploy;89654;Iranian Rial Mississippi Cambridgeshire;2020-03-15T10:47:41;Clothing;2020-03-14T17:00:56
9;Applications;models Dynamic Car;neural-net;Markets Multi-layered Senior;46179;Internal TCP;2020-03-14T14:50:52;multi-byte;2020-03-15T08:11:21
10;empowering black;Facilitator Enterprise-wide;Refined;Iraq Concrete Handmade Cotton Gloves;46358;Bahamas Moldova;2020-03-14T17:05:56;Accountability Fiji Dollar Home Loan Account;2020-03-15T10:44:03
