id;code;description;created_by;created_date;last_modified_by;last_modified_date
1;array Codes specifically reserved for testing purposes;best-of-breed Incredible Wooden Shirt;Belarus Indian Rupee payment;2020-03-15T23:06:21;EXE Taka platforms;2020-03-15T12:05:09
2;Island Liaison Tasty;back-end Rest;alliance invoice Handmade Frozen Shoes;2020-03-15T16:28:47;transmitter reintermediate Trinidad and Tobago Dollar;2020-03-15T13:27:19
3;aggregate;Operations;Kazakhstan HTTP;2020-03-15T23:07:39;copying;2020-03-16T02:27:41
4;Falkland Islands Pound program purple;JBOD PNG hacking;Macedonia;2020-03-16T08:20:24;Ford Lodge;2020-03-15T14:51:39
5;panel;Cook Islands;Borders neural;2020-03-16T03:38:17;quantifying;2020-03-16T08:25:27
6;lavender;Money Market Account;neural;2020-03-16T05:17:22;Frozen;2020-03-15T16:04:09
7;Designer Handcrafted Steel Bike Buckinghamshire;Refined Turnpike;withdrawal;2020-03-16T05:01:00;Soft front-end;2020-03-16T00:37:17
8;tangible payment;Saint Lucia Berkshire invoice;Solutions Gorgeous;2020-03-15T17:23:10;Markets Tools;2020-03-15T16:05:22
9;Kentucky port;Alaska Incredible;Principal evolve;2020-03-15T23:59:13;card;2020-03-15T16:24:45
10;Pizza;hacking Handmade Legacy;Avon magenta;2020-03-15T19:36:36;Denmark redundant;2020-03-16T10:22:27
