id;name;value;technical_remarks;created_by;created_date;last_modified_by;last_modified_date
1;PASSWORD;program Concrete;synthesizing;withdrawal;2020-03-17T04:27:44;Functionality deploy Ergonomic Plastic Tuna;2020-03-17T16:08:33
2;PASSWORD;Pennsylvania mobile Maldives;bleeding-edge Investment Account Bacon;Supervisor Regional hard drive;2020-03-17T19:43:41;Zambia;2020-03-17T20:55:11
3;BPM_SNAPSHOT_ID;Upgradable;Assistant Drive;Steel synergize payment;2020-03-17T20:51:51;Engineer archive;2020-03-17T04:19:14
4;BPM_BPD_ID;Keyboard calculate zero tolerance;withdrawal Electronics;Cambridgeshire deposit;2020-03-17T12:45:49;Checking Account Markets;2020-03-17T08:28:26
5;BPM_BRANCH_ID;online;Bedfordshire Bahraini Dinar bluetooth;Bedfordshire;2020-03-17T18:14:07;Handcrafted Metal Gloves Awesome invoice;2020-03-17T05:18:13
6;BPM_SNAPSHOT_ID;cross-platform;Operative;cross-platform Cameroon Frozen;2020-03-17T12:00:20;Soap;2020-03-17T18:08:05
7;BPM_SNAPSHOT_ID;open architecture;directional Uganda Shilling;Credit Card Account bypass;2020-03-18T00:10:20;platforms protocol Stream;2020-03-18T01:48:23
8;BPM_BRANCH_ID;wireless multi-byte Namibia;secondary orchestrate;Product;2020-03-17T19:30:35;leading-edge;2020-03-17T02:56:50
9;PASSWORD;interface;CSS Future-proofed;compressing Clothing Computer;2020-03-17T21:06:47;solution-oriented Tuna Sleek Plastic Chips;2020-03-17T23:28:11
10;BPM_BPD_ID;Barbados;Face to face purple Quality;SCSI calculating;2020-03-17T19:42:08;Village Savings Account;2020-03-17T08:57:07
