id;config_key;config_value;description;cached;encrypted;created_by;created_date;last_modified_by;last_modified_date
1;Rubber Turks and Caicos Islands;Malaysia Illinois orchestration;benchmark;false;true;XSS Ameliorated;2020-03-17T12:16:17;solid state;2020-03-17T17:12:23
2;Tasty;Metal deposit;Health;true;false;payment New Taiwan Dollar Road;2020-03-17T16:28:02;Hawaii Movies out-of-the-box;2020-03-17T14:45:38
3;yellow;disintermediate Shoes bypass;Awesome bluetooth indexing;false;false;SAS;2020-03-17T10:40:51;Legacy;2020-03-17T04:15:53
4;Field Implementation;Mississippi;Intelligent bluetooth Convertible Marks;false;false;Enhanced withdrawal;2020-03-17T07:24:24;cutting-edge;2020-03-17T09:31:51
5;Quetzal;JBOD application;mint green Architect;true;true;Borders;2020-03-17T11:13:21;application;2020-03-17T13:09:41
6;California microchip Steel;Reunion strategy encompassing;Borders Director best-of-breed;false;true;programming;2020-03-17T17:37:39;Avenue Unbranded Granite Shirt;2020-03-17T08:39:40
7;Investment Account;copy e-commerce;Wooden;true;false;Washington;2020-03-17T17:29:40;Maryland;2020-03-17T23:11:25
8;EXE gold whiteboard;Synergized solution;UAE Dirham Frozen Bedfordshire;false;false;Engineer;2020-03-17T07:35:19;Avon reboot;2020-03-17T10:02:18
9;feed discrete Intelligent Steel Computer;HDD Vermont time-frame;Iceland Krona Integration;false;false;Investment Account deposit;2020-03-17T11:20:34;scale Direct Avon;2020-03-17T04:59:29
10;Wooden Manager;matrix;synergies;true;false;Way enhance;2020-03-17T06:39:34;Lesotho override Clothing;2020-03-17T22:54:51
