id;code;is_eligible_for_exemption;is_exempted;level;exemption_process_id;exempted_by;exemption_date
1;Borders;true;true;INFO;29738;Total;2020-03-15T09:02:43
2;Platinum Car;true;false;INFO;24851;California Drives;2020-03-15T09:03:07
3;neural Small District;true;true;INFO;97730;Mount compressing;2020-03-15T04:58:42
4;National;false;false;INFO;71111;mint green Borders;2020-03-15T06:42:57
5;Bedfordshire Aruban Guilder XSS;true;true;BLOCKER;80105;Checking Account hard drive copying;2020-03-15T12:52:50
6;Borders generate;true;true;WARNING;57184;mindshare Internal;2020-03-15T10:55:42
7;e-services digital Bacon;true;false;INFO;92410;programming Ergonomic Money Market Account;2020-03-14T21:03:42
8;Engineer transmitter;true;true;BLOCKER;59268;fuchsia mobile;2020-03-14T23:06:21
9;matrix;false;false;WARNING;61599;Associate Handcrafted;2020-03-15T11:58:56
10;International West Virginia;false;false;INFO;24390;hack;2020-03-15T11:09:50
